TIME(2023/11/07 09:45:11.918),FPOGD,FPOGID,LPMM,RPMM,AOI
2.45813,0.09354,11,4.34861,3.79369,
2.46481,0.10022,11,4.38695,3.76745,
2.47198,0.10739,11,4.30732,3.82641,
2.47864,0.11404,11,4.34678,3.79934,
2.48532,0.12073,11,4.29227,3.7867,
2.4921,0.1275,11,4.33539,3.80851,
2.4982,0.13361,11,4.36092,3.81104,
2.50516,0.14056,11,4.34805,3.7862,
2.5119,0.14731,11,4.39399,3.84077,
2.51886,0.15427,11,4.33953,3.81247,
2.52557,0.16098,11,4.3789,3.83105,
2.53195,0.16736,11,4.38676,3.80154,
2.53867,0.17407,11,4.36518,3.8613,
2.54541,0.18082,11,4.39927,3.81974,
2.55212,0.18753,11,4.35237,3.83485,
2.55853,0.19394,11,4.38477,3.87672,
2.56534,0.20074,11,4.38742,3.8789,
2.57248,0.20789,11,4.38973,3.85231,
2.57889,0.21429,11,4.35756,3.87312,
2.58569,0.2211,11,4.41934,3.89375,
2.59229,0.22769,11,4.39542,3.87858,
2.59927,0.23468,11,4.38563,3.90361,
2.60565,0.24106,11,4.38425,3.87551,
2.61209,0.2475,11,4.39037,3.84504,
2.61935,0.25476,11,4.4035,3.89618,
2.62598,0.26138,11,4.40685,3.90317,
2.63269,0.2681,11,4.41332,3.9141,
2.63885,0.27426,11,4.42488,3.95229,
2.64609,0.28149,11,4.41189,3.99734,
2.65295,0.28836,11,4.40488,3.93523,
2.65927,0.29468,11,4.39989,3.91385,
2.66574,0.30115,11,4.39587,3.91581,
2.67258,0.30798,11,4.40381,3.91302,
2.67929,0.3147,11,4.45134,3.91973,
2.68585,0.32126,11,4.45921,3.99629,
2.69299,0.3284,11,4.45597,3.97598,
2.69968,0.33508,11,4.43473,3.98569,
2.70642,0.34183,11,4.41427,3.99066,
2.71289,0.3483,11,4.40808,3.99787,
2.71915,0.35455,11,4.44004,4.00033,
2.72653,0.36194,11,4.43065,3.95166,
2.73291,0.36832,11,4.4309,4.01449,
2.73965,0.37506,11,4.37158,3.9782,
2.74658,0.38199,11,4.4222,3.97828,
2.7533,0.3887,11,4.38747,3.98402,
2.75998,0.39539,11,4.40033,4.0105,
2.76645,0.40186,11,4.43503,4.02443,
2.77341,0.40881,11,4.43382,4.05284,
2.77982,0.41522,11,4.40243,4.0554,
2.78711,0.42252,11,4.43773,3.98569,
2.79306,0.42847,11,4.4183,4.07633,
2.79971,0.43512,11,4.38385,3.99891,
2.80682,0.44223,11,4.48598,3.98903,
2.8136,0.44901,11,4.47964,4.00322,
2.82004,0.45544,11,4.46055,3.96152,
2.82672,0.46213,11,4.38665,4.01465,
2.83319,0.4686,11,4.38968,4.0486,
2.84039,0.4758,11,4.47834,3.97693,
2.84729,0.4827,11,4.38772,4.02435,
